gene_id	phastCons_mean
CASTOR3	0.0739853867754506
CASTOR3	0.062417221159773
FAS	0.0452461638045921
MMP23A	0.429791777896423
TM7SF2	0.22890714122747
LGR5	NA
ZNF875	0.105554252002816
ZNF875	0.105554252002816
ZNF875	NA
ZNF415	0.0438685461007068
ZNF875	NA
DEDD	0.256058144506199
ZNF875	NA
ZNF875	0.105554252002816
IDH3B	0.260741885625966
ZNF875	NA
ZNF875	0.105554252002816
MMP23A	0.427846071619455
ROBO4	0.150275112866817
WDR87	0.139695953704129
CNTD1	0.227710559396606
CT47A6	0.112048192771084
CT47A6	0.0925903614457831
TRMT10A	0.0987363347831196
MUC7	0.0466580262914276
ZNF561	0.0302143268124281
C1orf158	0.0600365693388949
ORAI3	0.174744550408719
ZNF276	0.097580807066854
PNPLA7	NA
CENPX	0.049724682786689
IRX4	0.282365747460087
LIMA1	NA
DCDC2	0.0743663650124001
KHDRBS2	NA
CAMTA1	0.121689343101644
ELP4	0.150469601542644
PTP4A3	0.0562432237079871
MTERF1	0.143859469425381
SPART	NA
DDN	0.323131504257332
RAP1GAP2	0.0731708833219382
LOC105378591	0.00332950631458094
RRAGB	NA
RRAGB	NA
ELF3-AS1	0.0877232142857143
RRAGB	NA
H1-7	0.238508839354343
BTNL8	0.169153928018576
ULK3	0.204758522727273
GTF2IP20	0.07934026099565
LINC01611	0.14952133580705
PRKCZ-AS1	0.242966874699952
YJEFN3	0.0965867158671587
FDPS	0.130310990594017
FAAP20	0.0194529456771232
BAG5	0.227880783226477
FSTL5	NA
THSD4	NA
LOC100129534	0.149154804270463
EDA	NA
PRDM15	NA
JKAMP	0.129296446458383
MID1	0.145224604291165
PHF21A	NA
PTPN20	NA
PTPN20	NA
RASSF7	0.20732744520772
VIT	NA
MEFV	0.0787308324205915
OXR1	0.150556642094178
OXR1	0.150556642094178
OXR1	NA
TNFRSF14-AS1	0.0152121810235443
LOC100996583	0.0427809566135215
PFKP	0.066022734331325
SARS1	0.12375
LSS	0.0820455671124319
PAM	NA
RIMS1	0.0851088544787513
PRDM16-DT	0.0376078914919852
PRDM16-DT	0.0141176470588235
SLC5A2	0.203634937238494
SLC4A2	0.235982522437411
MIR4251	0.0951612903225806
PPCS	0.287344101410754
TMEM168	0.159512421473444
PPCS	0.287344101410754
FIGNL1	0.11278310940499
FIGNL1	0.112996638141809
ITPRID2	0.239373526439879
FIGNL1	0.11278310940499
ZNF518B	0.110958513790745
ZNF518B	0.110958513790745
ZNF24	0.246035260352603
NTRK3	0.0774686531619417
NTRK3	0.0774686531619417
NTRK3	0.0794543803445746
ZC3H11A	0.200222210826796
ZC3H11A	0.200222210826796
ZC3H11A	0.200222210826796
ZC3H11A	0.200222210826796
ZC3H11A	0.200222210826796
ZC3H11A	0.200222210826796
RPS24	0.164165588615783
PGR	0.0816490503139005
ADCK1	0.103002809342733
SOCS5	0.15883753720821
PDE7A	0.106076948812313
PCOLCE	0.263106295149639
PDE6G	0.076861133935908
PCNA	0.135369719818353
LINC01134	0.0317846460618146
LINC01346	0.0451933517080097
LINC01345	0.00130932896890344
LINC01777	0.0463078749505342
LINC01646	0.0567149521237418
TACC2	NA
MIR4689	0.0028169014084507
KRTAP5-11	0.0681017612524462
